gtexsim_ccd.csv
gtexsim_ccd_factors_rough.csv
Loading GTEx data.
Loaded 11688 x 55863 count matrix.
Loading initial estimates of factors and loadings.
Loaded 55863 x 20 factors matrix, and 11688 x 20 loadings matrix.
Fitting Poisson topic model using nnmf.

 Iteration |        MSE |        MKL |     Target |  Rel. Err.
        44 |  2569.2364 |     0.3753 |     0.3753 |     0.0004
        45 |  2476.3666 |     0.3751 |     0.3751 |     0.0003
        46 |  2391.3091 |     0.3750 |     0.3750 |     0.0003
        47 |  2313.1506 |     0.3749 |     0.3749 |     0.0003
        48 |  2241.1237 |     0.3748 |     0.3748 |     0.0003
        49 |  2174.7321 |     0.3747 |     0.3747 |     0.0002
        50 |  2113.4751 |     0.3746 |     0.3746 |     0.0002
        51 |  2056.6976 |     0.3746 |     0.3746 |     0.0002
        52 |  2003.9145 |     0.3745 |     0.3745 |     0.0002
        53 |  1954.6721 |     0.3744 |     0.3744 |     0.0002
        54 |  1908.7025 |     0.3744 |     0.3744 |     0.0002
        55 |  1865.6121 |     0.3743 |     0.3743 |     0.0002
        56 |  1825.1660 |     0.3742 |     0.3742 |     0.0002
        57 |  1787.0794 |     0.3742 |     0.3742 |     0.0001
        58 |  1751.1174 |     0.3741 |     0.3741 |     0.0001
        59 |  1717.1720 |     0.3741 |     0.3741 |     0.0001
        60 |  1685.1397 |     0.3740 |     0.3740 |     0.0001
        61 |  1654.9235 |     0.3740 |     0.3740 |     0.0001
        62 |  1626.4293 |     0.3740 |     0.3740 |     0.0001
        63 |  1599.5660 |     0.3739 |     0.3739 |     0.0001
        64 |  1574.2498 |     0.3739 |     0.3739 |     0.0001
        65 |  1550.4036 |     0.3738 |     0.3738 |     0.0001
        66 |  1527.9453 |     0.3738 |     0.3738 |      9e-05
        67 |  1506.7996 |     0.3738 |     0.3738 |      9e-05
        68 |  1486.8948 |     0.3737 |     0.3737 |      8e-05
        69 |  1468.1634 |     0.3737 |     0.3737 |      8e-05
        70 |  1450.5429 |     0.3737 |     0.3737 |      7e-05
        71 |  1433.9417 |     0.3737 |     0.3737 |      7e-05
        72 |  1418.2961 |     0.3736 |     0.3736 |      7e-05
        73 |  1403.5470 |     0.3736 |     0.3736 |      6e-05
        74 |  1389.5927 |     0.3736 |     0.3736 |      6e-05
        75 |  1376.3692 |     0.3736 |     0.3736 |      6e-05
        76 |  1363.8390 |     0.3735 |     0.3735 |      6e-05
        77 |  1351.9668 |     0.3735 |     0.3735 |      5e-05
        78 |  1340.7192 |     0.3735 |     0.3735 |      5e-05
        79 |  1330.0640 |     0.3735 |     0.3735 |      5e-05
        80 |  1319.9709 |     0.3735 |     0.3735 |      5e-05
        81 |  1310.4109 |     0.3735 |     0.3735 |      4e-05
        82 |  1301.3566 |     0.3734 |     0.3734 |      4e-05
        83 |  1292.7840 |     0.3734 |     0.3734 |      4e-05
        84 |  1284.6653 |     0.3734 |     0.3734 |      4e-05
        85 |  1276.9766 |     0.3734 |     0.3734 |      4e-05
        86 |  1269.6980 |     0.3734 |     0.3734 |      3e-05
        87 |  1262.7940 |     0.3734 |     0.3734 |      3e-05
        88 |  1256.2459 |     0.3734 |     0.3734 |      3e-05
        89 |  1250.0300 |     0.3733 |     0.3733 |      3e-05
        90 |  1244.1239 |     0.3733 |     0.3733 |      3e-05
        91 |  1238.5119 |     0.3733 |     0.3733 |      3e-05
        92 |  1233.1792 |     0.3733 |     0.3733 |      3e-05
        93 |  1228.1143 |     0.3733 |     0.3733 |      3e-05
        94 |  1223.2918 |     0.3733 |     0.3733 |      2e-05
        95 |  1218.6975 |     0.3733 |     0.3733 |      2e-05
        96 |  1214.3279 |     0.3733 |     0.3733 |      2e-05
        97 |  1210.1612 |     0.3733 |     0.3733 |      2e-05
        98 |  1206.1830 |     0.3733 |     0.3733 |      2e-05
        99 |  1202.3826 |     0.3733 |     0.3733 |      2e-05
       100 |  1198.7407 |     0.3732 |     0.3732 |      2e-05
       101 |  1195.2514 |     0.3732 |     0.3732 |      2e-05
       102 |  1191.8991 |     0.3732 |     0.3732 |      2e-05
       103 |  1188.6740 |     0.3732 |     0.3732 |      2e-05
       104 |  1185.5717 |     0.3732 |     0.3732 |      2e-05
       105 |  1182.5871 |     0.3732 |     0.3732 |      2e-05
       106 |  1179.7160 |     0.3732 |     0.3732 |      2e-05
       107 |  1176.9541 |     0.3732 |     0.3732 |      2e-05
       108 |  1174.2975 |     0.3732 |     0.3732 |      2e-05
       109 |  1171.7424 |     0.3732 |     0.3732 |      1e-05
       110 |  1169.2849 |     0.3732 |     0.3732 |      1e-05
       111 |  1166.9216 |     0.3732 |     0.3732 |      1e-05
       112 |  1164.6490 |     0.3732 |     0.3732 |      1e-05
       113 |  1162.4636 |     0.3732 |     0.3732 |      1e-05
       114 |  1160.3630 |     0.3732 |     0.3732 |      1e-05
       115 |  1158.3411 |     0.3732 |     0.3732 |      1e-05
       116 |  1156.3908 |     0.3732 |     0.3732 |      1e-05
       117 |  1154.5098 |     0.3732 |     0.3732 |      1e-05
       118 |  1152.6957 |     0.3731 |     0.3731 |      1e-05
       119 |  1150.9466 |     0.3731 |     0.3731 |      1e-05
       120 |  1149.2610 |     0.3731 |     0.3731 |      1e-05
       121 |  1147.6236 |     0.3731 |     0.3731 |      1e-05
       122 |  1146.0327 |     0.3731 |     0.3731 |      1e-05
       123 |  1144.4686 |     0.3731 |     0.3731 |      1e-05
       124 |  1142.9580 |     0.3731 |     0.3731 |      1e-05
       125 |  1141.5057 |     0.3731 |     0.3731 |      9e-06
       126 |  1140.1036 |     0.3731 |     0.3731 |      9e-06
       127 |  1138.7428 |     0.3731 |     0.3731 |      9e-06
       128 |  1137.4203 |     0.3731 |     0.3731 |      9e-06
       129 |  1136.1326 |     0.3731 |     0.3731 |      9e-06
       130 |  1134.8785 |     0.3731 |     0.3731 |      8e-06
       131 |  1133.6552 |     0.3731 |     0.3731 |      8e-06
       132 |  1132.4587 |     0.3731 |     0.3731 |      8e-06
       133 |  1131.2882 |     0.3731 |     0.3731 |      8e-06
       134 |  1130.1431 |     0.3731 |     0.3731 |      8e-06
       135 |  1129.0228 |     0.3731 |     0.3731 |      8e-06
       136 |  1127.9261 |     0.3731 |     0.3731 |      8e-06
       137 |  1126.8502 |     0.3731 |     0.3731 |      7e-06
       138 |  1125.7948 |     0.3731 |     0.3731 |      7e-06
       139 |  1124.7594 |     0.3731 |     0.3731 |      7e-06
       140 |  1123.7438 |     0.3731 |     0.3731 |      7e-06
       141 |  1122.7475 |     0.3731 |     0.3731 |      7e-06
       142 |  1121.7702 |     0.3731 |     0.3731 |      7e-06
       143 |  1120.8116 |     0.3731 |     0.3731 |      7e-06
       144 |  1119.8713 |     0.3731 |     0.3731 |      7e-06
       145 |  1118.9490 |     0.3731 |     0.3731 |      6e-06
       146 |  1118.0444 |     0.3731 |     0.3731 |      6e-06
       147 |  1117.1572 |     0.3731 |     0.3731 |      6e-06
       148 |  1116.2870 |     0.3731 |     0.3731 |      6e-06
       149 |  1115.4336 |     0.3731 |     0.3731 |      6e-06
       150 |  1114.5967 |     0.3731 |     0.3731 |      6e-06
       151 |  1113.7759 |     0.3730 |     0.3730 |      6e-06
       152 |  1112.9709 |     0.3730 |     0.3730 |      6e-06
       153 |  1112.1816 |     0.3730 |     0.3730 |      6e-06
       154 |  1111.4075 |     0.3730 |     0.3730 |      6e-06
       155 |  1110.6485 |     0.3730 |     0.3730 |      5e-06
       156 |  1109.9042 |     0.3730 |     0.3730 |      5e-06
       157 |  1109.1744 |     0.3730 |     0.3730 |      5e-06
       158 |  1108.4588 |     0.3730 |     0.3730 |      5e-06
       159 |  1107.7571 |     0.3730 |     0.3730 |      5e-06
       160 |  1107.0700 |     0.3730 |     0.3730 |      5e-06
       161 |  1106.3943 |     0.3730 |     0.3730 |      5e-06
       162 |  1105.7296 |     0.3730 |     0.3730 |      5e-06
       163 |  1105.0757 |     0.3730 |     0.3730 |      5e-06
       164 |  1104.4324 |     0.3730 |     0.3730 |      5e-06
       165 |  1103.7996 |     0.3730 |     0.3730 |      5e-06
       166 |  1103.1771 |     0.3730 |     0.3730 |      5e-06
       167 |  1102.5646 |     0.3730 |     0.3730 |      5e-06
       168 |  1101.9621 |     0.3730 |     0.3730 |      4e-06
       169 |  1101.3694 |     0.3730 |     0.3730 |      4e-06
       170 |  1100.7862 |     0.3730 |     0.3730 |      4e-06
       171 |  1100.2120 |     0.3730 |     0.3730 |      4e-06
       172 |  1099.6468 |     0.3730 |     0.3730 |      4e-06
       173 |  1099.0905 |     0.3730 |     0.3730 |      4e-06
       174 |  1098.5429 |     0.3730 |     0.3730 |      4e-06
       175 |  1098.0039 |     0.3730 |     0.3730 |      4e-06
       176 |  1097.4734 |     0.3730 |     0.3730 |      4e-06
       177 |  1096.9513 |     0.3730 |     0.3730 |      4e-06
       178 |  1096.4373 |     0.3730 |     0.3730 |      4e-06
       179 |  1095.9314 |     0.3730 |     0.3730 |      4e-06
       180 |  1095.4334 |     0.3730 |     0.3730 |      4e-06
       181 |  1094.9432 |     0.3730 |     0.3730 |      4e-06
       182 |  1094.4608 |     0.3730 |     0.3730 |      4e-06
       183 |  1093.9859 |     0.3730 |     0.3730 |      4e-06
       184 |  1093.5186 |     0.3730 |     0.3730 |      4e-06
       185 |  1093.0588 |     0.3730 |     0.3730 |      3e-06
       186 |  1092.6060 |     0.3730 |     0.3730 |      3e-06
       187 |  1092.1602 |     0.3730 |     0.3730 |      3e-06
       188 |  1091.7213 |     0.3730 |     0.3730 |      3e-06
       189 |  1091.2891 |     0.3730 |     0.3730 |      3e-06
       190 |  1090.8636 |     0.3730 |     0.3730 |      3e-06
       191 |  1090.4447 |     0.3730 |     0.3730 |      3e-06
       192 |  1090.0322 |     0.3730 |     0.3730 |      3e-06
       193 |  1089.6262 |     0.3730 |     0.3730 |      3e-06
       194 |  1089.2265 |     0.3730 |     0.3730 |      3e-06
       195 |  1088.8330 |     0.3730 |     0.3730 |      3e-06
       196 |  1088.4455 |     0.3730 |     0.3730 |      3e-06
       197 |  1088.0641 |     0.3730 |     0.3730 |      3e-06
       198 |  1087.6884 |     0.3730 |     0.3730 |      3e-06
       199 |  1087.3186 |     0.3730 |     0.3730 |      3e-06
       200 |  1086.9545 |     0.3730 |     0.3730 |      3e-06
--------------------------------------------------------------
 Iteration |        MSE |        MKL |     Target |  Rel. Err.

Computation took 15794.21 seconds.
Compute loglikelihood
method type: poisson

        poisson_ll :-2.130772390929

        multinom_ll:-5534953857544.726562500000
Writing results to file.
Session info:
R version 3.5.1 (2018-07-02)
Platform: x86_64-pc-linux-gnu (64-bit)
Running under: Scientific Linux 7.4 (Nitrogen)

Matrix products: default
BLAS/LAPACK: /software/openblas-0.2.19-el7-x86_64/lib/libopenblas_haswellp-r0.2.19.so

locale:
 [1] LC_CTYPE=en_US.UTF-8       LC_NUMERIC=C              
 [3] LC_TIME=en_US.UTF-8        LC_COLLATE=en_US.UTF-8    
 [5] LC_MONETARY=en_US.UTF-8    LC_MESSAGES=en_US.UTF-8   
 [7] LC_PAPER=en_US.UTF-8       LC_NAME=C                 
 [9] LC_ADDRESS=C               LC_TELEPHONE=C            
[11] LC_MEASUREMENT=en_US.UTF-8 LC_IDENTIFICATION=C       

attached base packages:
[1] stats     graphics  grDevices utils     datasets  methods   base     

other attached packages:
[1] NNLM_0.4.2  readr_1.3.1

loaded via a namespace (and not attached):
 [1] compiler_3.5.1   R6_2.3.0         hms_0.4.2        tools_3.5.1     
 [5] pillar_1.3.1     tibble_2.0.1     Rcpp_1.0.0       crayon_1.3.4    
 [9] pkgconfig_2.0.2  rlang_0.3.1.9000
